timestamp,current_price,prev_close,price_change,price_change_pct,high_volatility,high_exceedance,low_exceedance,total_exceedance
2024-09-05 22:00:00,210.73,230.17,-19.439999999999998,-8.445931268193075,23.090000000000003,0.0,11.615501245079031,11.615501245079031
2024-09-08 22:00:00,216.27,210.73,5.5400000000000205,2.628956484601158,6.200000000000017,0.0,0.0,0.0
2024-09-09 22:00:00,226.17,216.27,9.899999999999977,4.577611319184342,7.76230000000001,0.0,0.0,0.0
2024-09-10 22:00:00,228.13,226.17,1.960000000000008,0.8666047663262184,11.669700000000006,0.0,1.3382673861124772,1.3382673861124772
2024-09-11 22:00:00,229.81,228.13,1.6800000000000068,0.736422215403501,7.619999999999976,0.0,0.0,0.0
2024-09-12 22:00:00,230.29,229.81,0.47999999999998977,0.20886819546581514,6.349999999999994,0.0,0.0,0.0
2024-09-15 22:00:00,226.78,230.29,-3.509999999999991,-1.5241651830300886,6.430000000000007,0.0,0.0,0.0
2024-09-16 22:00:00,227.87,226.78,1.0900000000000034,0.4806420319252154,8.016699999999986,0.0,0.0,0.0
2024-09-17 22:00:00,227.2,227.87,-0.6700000000000159,-0.2940272962654215,8.800000000000011,0.0,0.0,0.0
2024-09-18 22:00:00,243.92,227.2,16.72,7.359154929577465,12.110000000000014,6.040126462465622,0.0,6.040126462465622
2024-09-19 22:00:00,238.25,243.92,-5.6699999999999875,-2.324532633650372,8.070000000000022,0.0,0.0,0.0
2024-09-22 22:00:00,250.0,238.25,11.75,4.931794333683106,8.080000000000013,1.564183507634766,0.0,1.564183507634766
2024-09-23 22:00:00,254.27,250.0,4.27000000000001,1.708000000000004,8.139900000000011,0.0,0.0,0.0
2024-09-24 22:00:00,257.02,254.27,2.7499999999999716,1.0815275101270192,4.77000000000001,0.0,0.0,0.0
2024-09-25 22:00:00,254.22,257.02,-2.799999999999983,-1.0894093844836912,10.219999999999999,0.0,0.0,0.0
2024-09-26 22:00:00,260.46,254.22,6.239999999999981,2.45456691054991,6.579900000000009,0.0,0.0,0.0
2024-09-29 22:00:00,261.63,260.46,1.170000000000016,0.4492052522460324,9.090000000000003,0.0,0.0,0.0
